Name,Budget,Gross_Us,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
Snatch,6000000,30328156,27932,2000-12-10 00:00:00,83557872,104,Color,Dolby DigitalSDDSDolby Atmos,1.85 : 1
L.A. Confidential,35000000,64616940,5211198,1997-09-21 00:00:00,126216940,138,Color,Dolby Digital,2.39 : 1
1917,95000000,159227644,576216,2019-12-29 00:00:00,384580017,119,Color,Dolby AtmosDolby DigitalDolby Surround 7.1,2.39 : 1
Hamilton,0,0,0,1900-01-01 00:00:00,0,160,Color,Dolby AtmosDolby Surround 7.1Dolby Digital,1.85 : 1
Bicycle Thieves,133000,371111,25377,1998-10-04 00:00:00,450159,89,Black and White,Mono,1.37 : 1
Taxi Driver,1300000,28262574,116458,1996-02-19 00:00:00,28579636,0,None,None,None
Downfall,13500000,5509040,18195,2005-02-20 00:00:00,92181574,156,Color,Dolby DigitalDTS,1.85 : 1
Dangal,700000000,12391761,3248481,2016-12-25 00:00:00,303723636,161,Color,Dolby Atmos,2.35 : 1
For a Few Dollars More,0,0,0,1900-01-01 00:00:00,0,132,Color,Mono,2.35 : 1
Batman Begins,150000000,206863479,48745440,2005-06-19 00:00:00,375325692,140,Color,DTSDolby DigitalSDDS,2.39 : 1
The Wolf of Wall Street,100000000,116900694,18361578,2013-12-29 00:00:00,407039432,0,Color,DatasatDolby DigitalDolby Surround 7.1,2.39 : 1
Some Like It Hot,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Green Book,23000000,85080171,320429,2018-11-18 00:00:00,321752656,130,Color,Dolby Surround 7.1SDDS,2.00 : 1
The Kid,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Father,0,0,0,1900-01-01 00:00:00,0,97,Color,Dolby Digital,2.39 : 1
Judgment at Nuremberg,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Truman Show,60000000,125618201,31542121,1998-06-07 00:00:00,264118712,103,Color,DTSDolby DigitalDolby Atmos,1.66 : 1
All About Eve,1400000,63463,10177,2000-10-08 00:00:00,152599,0,None,None,None
Shutter Island,80000000,128012934,41062440,2010-02-21 00:00:00,294933742,138,Color,SDDSDolby DigitalDTS,2.39 : 1
Top Gun: Maverick,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,130,Color,Dolby AtmosAuro 11.1IMAX 6-Track12-Track Digital SoundSonics-DDP,2.39 : 1
There Will Be Blood,25000000,40222514,190739,2007-12-30 00:00:00,76186224,158,Color,SDDSDolby DigitalDTS,2.39 : 1
Casino,52000000,42512375,9946480,1995-11-26 00:00:00,116112375,178,Color,DTS-StereoDTS,2.39 : 1
Jurassic Park,63000000,407185075,47026828,1993-06-13 00:00:00,1103086582,127,Color,DTS,1.85 : 1
Ran,11500000,4135750,3567,2000-07-02 00:00:00,4166319,0,None,None,None
The Sixth Sense,40000000,293506292,26681262,1999-08-08 00:00:00,672806432,107,Color,DTSDolby DigitalSDDS,1.85 : 1
Pan's Labyrinth,19000000,37646380,568641,2006-12-31 00:00:00,83863565,118,Color,DTSDolby DigitalSDDSDolby Surround 7.1,1.85 : 1
Unforgiven,14400000,101167799,15018007,1992-08-09 00:00:00,159167799,0,None,None,None
No Country for Old Men,25000000,74283625,1202000,2007-11-11 00:00:00,171632777,122,Color,SDDSDolby DigitalDTS,2.39 : 1
A Beautiful Mind,58000000,170742341,367151,2001-12-23 00:00:00,316791257,135,Color,DTSDolby DigitalSDDS,1.85 : 1
The Thing,15000000,19857465,3107897,1982-06-27 00:00:00,19872469,0,None,None,None
Kill Bill: Vol. 1,30000000,70099045,22200000,2003-10-12 00:00:00,180908413,111,ColorBlack and White,DTSDolby DigitalSDDS,2.39 : 1
The Treasure of the Sierra Madre,3000000,5014000,144074,2018-01-14 00:00:00,5014000,0,None,None,None
Yojimbo,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Monty Python and the Holy Grail,229575,2562392,45487,2001-06-17 00:00:00,2817496,0,None,None,None
The Great Escape,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Finding Nemo,94000000,380843261,70251710,2003-06-01 00:00:00,941637960,0,None,None,None
Prisoners,46000000,61002302,20817053,2013-09-22 00:00:00,122127446,0,None,None,None
Howl's Moving Castle,24000000,6789268,427987,2005-06-12 00:00:00,237731798,119,Color,Dolby Digital EXDTS-ESSDDS,1.85 : 1
Rashomon,250000,46808,15942,2002-07-28 00:00:00,117668,0,None,None,None
The Elephant Man,0,0,0,1900-01-01 00:00:00,0,124,Black and White,Dolby Stereo,2.35 : 1
Dial M for Murder,1400000,24845,12562,1999-04-11 00:00:00,43308,0,None,None,None
Chinatown,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Gone with the Wind,3977000,200882193,1192593,1998-06-28 00:00:00,402382193,0,None,None,None
Lock, Stock and Two Smoking Barrels,960000,3753929,143321,1999-03-07 00:00:00,3753929,107,Color,Dolby Digital,1.85 : 1
The Secret in Their Eyes,2000000,6391436,167866,2010-04-18 00:00:00,35079650,129,Color,Dolby Digital,2.35 : 1
V for Vendetta,54000000,70511035,25642340,2006-03-19 00:00:00,134686457,132,Color,DTSDolby DigitalSDDSDolby Atmos,2.35 : 1
Inside Out,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,95,Color,Dolby DigitalDatasatDolby AtmosSDDSDolby Surround 7.1Auro 11.112-Track Digital SoundD-Cinema 48kHz Dolby Surround 7.1D-Cinema 96kHz 7.1D-Cinema 96kHz 5.1,1.78 : 1
Raging Bull,18000000,23383987,128590,1980-11-16 00:00:00,23405198,129,Black and WhiteColor,Dolby Stereo,1.85 : 1
Three Billboards Outside Ebbing, Missouri,15000000,54513740,322168,2017-11-12 00:00:00,162729321,115,Color,Dolby Digital,2.35 : 1
Trainspotting,1500000,16491080,262673,1996-07-21 00:00:00,16950946,93,Color,Dolby SR,1.85 : 1
The Bridge on the River Kwai,0,0,0,1900-01-01 00:00:00,0,161,Color,Dolby Atmos,2.55 : 1
Klaus,0,0,0,1900-01-01 00:00:00,0,96,Color,Dolby Atmos,1.85 : 1
Fargo,7000000,24611975,730265,1996-03-10 00:00:00,60611975,98,Color,Dolby SR,1.85 : 1
Catch Me If You Can,52000000,164615351,30053627,2002-12-29 00:00:00,352114312,141,Color,DTSDolby DigitalSDDS,1.85 : 1
Spider-Man: No Way Home,200000000,814866759,260138569,2021-12-19 00:00:00,1922598800,0,None,None,None
Warrior,25000000,13657115,5242107,2011-09-11 00:00:00,23308615,140,Color,Dolby DigitalDatasatSDDSDolby Surround 7.1Dolby Atmos,2.35 : 1
Gran Torino,33000000,148095302,271720,2008-12-14 00:00:00,269958228,116,Color,DTSDolby DigitalSDDS,2.39 : 1
Million Dollar Baby,30000000,100492203,179953,2004-12-19 00:00:00,216763646,132,Color,DTSDolby DigitalSDDS,2.39 : 1
Harry Potter and the Deathly Hallows: Part 2,125000000,381447587,169189427,2011-07-17 00:00:00,1342480797,130,Color,Dolby DigitalDatasatDolby Surround 7.1SDDSSonics-DDP,2.39 : 1
My Neighbour Totoro,3700000,2250213,539245,2018-09-30 00:00:00,30695952,0,None,None,None
Children of Heaven,180000,933933,20100,1999-01-24 00:00:00,933933,89,Color,Mono,1.85 : 1
12 Years a Slave,20000000,56671993,923715,2013-10-20 00:00:00,187734091,134,Color,Dolby DigitalSDDSDolby Surround 7.1,2.35 : 1
Ben-Hur,15000000,74432704,241792,2019-04-14 00:00:00,74437981,0,None,None,None
Blade Runner,28000000,32914489,6150002,1982-06-27 00:00:00,41757237,117,Color,Dolby Atmos,2.39 : 1
Before Sunrise,2500000,5535405,1423537,1995-01-29 00:00:00,5993086,0,None,None,None
The Grand Budapest Hotel,25000000,59301324,811166,2014-03-09 00:00:00,174567384,0,None,None,None
Barry Lyndon,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Mad Max: Fury Road,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,0,Color,Dolby DigitalDatasatSDDSDolby Atmos,2.39 : 1
Gone Girl,61000000,167767189,37513109,2014-10-05 00:00:00,370890259,149,Color,Dolby DigitalDolby AtmosDatasatDolby Surround 7.1,2.39 : 1
Hacksaw Ridge,40000000,67209615,15190758,2016-11-06 00:00:00,180563636,139,Color,Dolby Atmos,2.35 : 1
The Gold Rush,0,0,0,1900-01-01 00:00:00,0,95,Black and White,Silent(original release),1.33 : 1
Dead Poets Society,16400000,95860116,340456,1989-06-04 00:00:00,235860116,0,None,None,None
Memories of Murder,2800000,15357,4487,2005-07-17 00:00:00,1208481,131,Color,Dolby Digital,1.85 : 1
In the Name of the Father,13000000,25096862,109805,1994-01-02 00:00:00,65796862,133,Color,Dolby StereoDTS,1.85 : 1
Wild Tales,3300000,3106530,85100,2015-02-22 00:00:00,31478893,122,Color,Dolby Surround 7.1,2.35 : 1
The Deer Hunter,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Monsters, Inc.,115000000,290642256,62577067,2001-11-04 00:00:00,579723768,92,Color,SDDSDolby Digital,1.85 : 1
The General,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
On the Waterfront,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Sherlock Jr.,0,0,0,1900-01-01 00:00:00,0,0,Black and White,Silent,1.33 : 1
How to Train Your Dragon,165000000,217581231,43732319,2010-03-28 00:00:00,494879860,98,Color,Dolby DigitalDTSSDDS,2.39 : 1
Jaws,7000000,266567580,7061513,1975-06-22 00:00:00,477220580,0,None,None,None
The Third Man,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Wages of Fear,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Mary and Max,0,0,0,1900-01-01 00:00:00,0,92,ColorBlack and White,Dolby Digital,1.85 : 1
Wild Strawberries,0,0,0,1900-01-01 00:00:00,0,91,Black and White,Mono,1.37 : 1
Ratatouille,150000000,206445654,47027395,2007-07-01 00:00:00,623728318,111,Color,SDDSDolby DigitalDolby Atmos,2.39 : 1
Mr. Smith Goes to Washington,1900000,144738,83205,2018-10-14 00:00:00,145941,0,None,None,None
Le Mans '66,97600000,117624357,31474958,2019-11-17 00:00:00,225508210,152,Color,Dolby AtmosDolby Digital,2.39 : 1
Tokyo Story,0,0,0,1900-01-01 00:00:00,0,136,Black and White,Mono,1.37 : 1
The Big Lebowski,15000000,19301403,5533844,1998-03-08 00:00:00,48066229,0,None,None,None
Room,13000000,14677654,118298,2015-10-18 00:00:00,35402766,118,Color,Dolby DigitalDatasatDolby Atmos,2.35 : 12.39 : 1
Rocky,0,0,0,1900-01-01 00:00:00,0,0,Color,MonoDolby Digital,1.85 : 1
The Seventh Seal,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Logan,97000000,226277068,88411916,2017-03-05 00:00:00,619180476,137,Color,Dolby AtmosDolby DigitalDolby Surround 7.1SDDS,2.39 : 1
Spotlight,20000000,45055776,295009,2015-11-08 00:00:00,98690254,129,Color,Dolby Digital,1.85 : 1
Hotel Rwanda,17500000,23530892,100091,2004-12-26 00:00:00,33882243,121,Color,DTSDolby Digital,2.35 : 1
The Terminator,6400000,38371200,4020663,1984-10-28 00:00:00,78371200,107,Color,Mono(original release),1.85 : 1
Platoon,6000000,138530565,241080,1986-12-21 00:00:00,138545632,0,Color,Dolby StereoDolby Digital,1.85 : 1
La haine,0,0,0,1900-01-01 00:00:00,0,98,Black and White,Dolby Digital,1.85 : 1
The Passion of Joan of Arc,0,0,0,1900-01-01 00:00:00,0,110,Black and White,Silent,1.33 : 1
Before Sunset,2700000,5820649,219425,2004-07-04 00:00:00,15855022,80,Color,DTSDolby DigitalSDDS,1.85 : 1
The Best Years of Our Lives,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,305413918,46630690,2003-07-13 00:00:00,654264546,143,Color,Dolby Digital EXSDDSDTS,2.39 : 1
The Exorcist,11000000,233005644,8175666,2000-09-24 00:00:00,441306145,122,Color,Mono(original release),1.85 : 1
Jai Bhim,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Rush,38000000,26947624,187289,2013-09-22 00:00:00,96992516,123,Color,Dolby DigitalDatasatSDDS,2.35 : 1
Network,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Wizard of Oz,2777000,24668669,5354311,1998-11-08 00:00:00,25637669,0,None,None,None
Stand by Me,8000000,52287414,242795,1986-08-10 00:00:00,52290509,89,Color,Dolby AtmosDolby DigitalMono,1.85 : 1
The Incredibles,92000000,261441092,70467623,2004-11-07 00:00:00,631688498,115,Black and WhiteColor,Dolby Digital EX,2.39 : 12.35 : 1
Hachi: A Dog's Tale,0,0,0,1900-01-01 00:00:00,0,93,Color,DTSDolby DigitalSDDS,1.85 : 1
My Father and My Son,0,0,0,1900-01-01 00:00:00,0,112,Color,Dolby Digital,1.85 : 1
The Handmaiden,10000000000,2006788,92129,2016-10-23 00:00:00,37863670,145,Color,Dolby DigitalDolby AtmosDolby Surround 7.1,2.35 : 1
The Sound of Music,8200000,159287539,413497,2018-09-09 00:00:00,159475084,0,None,None,None
Into the Wild,15000000,18354356,212440,2007-09-23 00:00:00,56676733,148,Color,DTSDolby DigitalSDDS,2.39 : 1
To Be or Not to Be,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Battle of Algiers,800000,879794,64870,2004-01-11 00:00:00,962002,121,Black and White,Mono,1.85 : 1
The Grapes of Wrath,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Groundhog Day,14600000,71107962,12517672,1993-02-14 00:00:00,71108778,101,Color,Dolby StereoDolby DigitalDolby Atmos,1.85 : 1
Amores perros,2000000,5408467,61047,2001-04-01 00:00:00,20908467,154,Color,Dolby Digital,1.85 : 1
The Iron Giant,70000000,23315035,5732614,1999-08-08 00:00:00,23336504,0,None,None,None
Rebecca,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Cool Hand Luke,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
The Help,25000000,169708112,26044590,2011-08-14 00:00:00,216639112,146,Color,Dolby DigitalSDDSDatasat,1.85 : 1
It Happened One Night,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Drishyam,0,0,0,1900-01-01 00:00:00,0,163,Color,Dolby Digital,2.35 : 1
Dances with Wolves,22000000,184208848,598257,1990-11-11 00:00:00,424208848,181,Color,Dolby SR,2.39 : 1
Aladdin,28000000,217350219,196664,1992-11-15 00:00:00,504050219,90,Color,Dolby Stereo,1.78 : 11.85 : 1
Gangs of Wasseypur,0,0,0,1900-01-01 00:00:00,0,321,Color,Dolby Digital EXDatasat,2.35 : 1
